Run,Best_Solution_X,Best_Solution_Y,Best_Solution_Z,Best_Score,Std_Dev,Median,Q1,Q3,IQR,Time_Seconds
1,0.5299163818359375,-0.4045440673828125,0.192138671875,1.4522816520811708,0.1697058624519896,1.402270112022364,1.143574500899413,1.4327955681644935,0.28922106726508057,310.8076047897339
2,0.5249725341796875,-0.3311279296875,0.15046386718750002,1.4562922282499522,0.22927909800776936,1.4456397513771249,1.1614038524241117,1.4507265328039498,0.2893226803798381,350.3414583206177
3,0.548675537109375,0.31164093017578126,0.2070556640625,1.4621672241737653,0.24655787106274055,1.344146012019369,1.0978569857293015,1.4252335071152191,0.32737652138591766,245.73650979995728
4,0.56356201171875,-0.13463745117187498,0.01171875,1.4440813581409424,0.226920625658653,1.374032587724219,1.1307576075993235,1.4040917248733884,0.27333411727406487,231.05707001686096
5,0.4212982177734375,-0.3093612670898438,0.1755859375,1.4421370369257809,0.19602265844589978,1.4418296556230006,1.1792412656259779,1.441980080903076,0.2627388152770982,321.3776886463165
6,0.5044921875,-0.37562255859375,0.186083984375,1.452084853704216,0.27411464327768714,1.4316596592763635,1.1390409716810739,1.4340300587397004,0.2949890870586265,287.3484342098236
7,0.53192138671875,-0.37357635498046876,0.2517822265625,1.4272636233234428,0.17416499971439695,1.4035094886846584,1.1539565860511072,1.4156857795345608,0.2617291934834536,320.5260126590729
8,0.51031494140625,-0.3599395751953125,0.22395019531250002,1.446043487913639,0.251971185362635,1.422500918171609,1.0249879777202273,1.4242609328017317,0.3992729550815044,368.5132682323456
9,0.5331298828125,-0.35209808349609373,0.154296875,1.4572261440312575,0.2687010992803748,1.4314358120328026,1.0468376291277086,1.455993634466163,0.4091560053384544,342.8954792022705
10,0.5321685791015625,-0.4151321411132813,0.1812744140625,1.45578233945911,0.29657530783778285,1.4133675921253275,1.153459232127732,1.4358161847204012,0.28235695259266924,294.18013978004456
11,0.5243499755859374,-0.33995819091796875,0.137548828125,1.4584291626907526,0.19071791093252746,1.433335481418732,1.15400089586637,1.4488514099105523,0.2948505140441824,414.9065566062927
12,0.518572998046875,-0.346124267578125,0.11503906250000001,1.4601804187495864,0.2281507148486511,1.4447465577163356,1.175405856961993,1.4449113284650696,0.2695054715030767,326.05795431137085
13,0.48563232421874997,-0.31743621826171875,0.146484375,1.442756341467897,0.24157503663955765,1.404785839681431,1.3073131668785039,1.4065214517626687,0.09920828488416489,221.62474846839905
14,0.5794464111328125,-0.436981201171875,0.241015625,1.4353644741731708,0.2644858721599278,1.3743739798860901,1.1220776298448643,1.416546630721585,0.2944690008767208,315.11489057540894
15,0.5309967041015625,-0.40220947265625,0.19814453125,1.4518222342282217,0.1840657296968269,1.4182068739338152,1.1761678269424942,1.4278875893195058,0.25171976237701155,309.24707889556885
16,0.526666259765625,-0.3323089599609375,0.14873046875,1.455809292982466,0.24788749789161743,1.197777523511188,1.06917037139965,1.452354013726783,0.38318364232713287,376.3463788032532
17,0.5326354980468749,0.05285797119140628,0.148486328125,1.462774814673193,0.2077156951590059,1.419021992571937,1.1322698815237826,1.4340535882159862,0.30178370669220356,304.4970757961273
18,0.5081085205078125,-0.36687469482421875,0.1937255859375,1.4329572628604037,0.2310527378379615,1.4238703135133186,1.0984620053841863,1.4306572369617152,0.33219523157752895,523.593332529068
19,0.5141418457031249,-0.33690948486328126,0.1677734375,1.45807802749683,0.2148769220862765,1.2617958765859125,1.128366539904078,1.4465101090653576,0.3181435691612795,399.43325996398926
20,0.5260528564453125,-0.38121185302734373,0.22336425781250002,1.4458241359291324,0.25043993789074126,1.419162334216393,1.1378478100665688,1.4351885239246522,0.29734071385808347,269.52678656578064
21,0.5276275634765625,-0.4067550659179688,0.18464355468750002,1.4541857129518008,0.2796708481166777,1.4059227115403166,1.1423619065839838,1.4346400736772433,0.2922781670932595,270.4235951900482
22,0.5516693115234375,-0.40697479248046875,0.18701171875,1.448883484052581,0.21676001247904483,1.4088952343617858,1.1438819064430121,1.4290266671330316,0.2851447606900195,320.3062336444855
23,0.5252105712890625,-0.056854248046875,0.125390625,1.4582905859810522,0.2217086385445118,1.4224082908183804,1.031614590244266,1.4334056812213791,0.4017910909771132,300.74695324897766
24,0.422406005859375,-0.31278076171875,0.1518798828125,1.4498145518509844,0.25355919108821984,1.439003938474393,1.1912268140656461,1.4485924952454217,0.25736568117977554,343.69929909706116
25,0.5252288818359375,-0.3441741943359375,0.162744140625,1.4570761884214294,0.2650043691083997,1.3881113171897543,1.1454480240908822,1.4469293366132618,0.30148131252237964,408.28682136535645
26,0.5272064208984375,-0.35050506591796876,0.15280761718750002,1.4598937058540893,0.22030215315974253,1.4136535288145509,1.1831504148066667,1.44949026155804,0.26633984675137334,483.04229640960693
27,0.5386138916015625,-0.35679473876953127,0.15012207031250002,1.455231442176536,0.2440075658149046,1.3069150859069643,1.1275007842408789,1.4480093424281772,0.3205085581872984,428.11399722099304
28,0.50936279296875,0.23326721191406247,0.10222167968750001,1.4466754135494295,0.2389413486917006,1.4262085385489245,1.144376550146686,1.4276422684753682,0.2832657183286822,258.45050072669983
29,0.52445068359375,-0.3534576416015625,0.10734863281250001,1.461888861275807,0.23512799451604832,1.2022764838914328,1.1729897655425054,1.4576342969087637,0.2846445313662582,347.4174473285675
30,0.5360687255859374,-0.333599853515625,0.1879150390625,1.4428374270730482,0.23743015432927236,1.411654471319345,1.2724161055574217,1.4294962533365183,0.15708014777909662,304.70519375801086
